Дата;Количество звезд;Комментарий;Лайки;Дизлайки
2022-08-31 16:40:08;5;Пришла упакованная в термоплёнке, что очень радует(в прошлый раз была просто в пакетике) , спасибо за быструю доставку и качественный товар!;0;0
2022-08-31 16:28:45;1;Уже более 7 лет пользуюсь тушью только этой марки. Но то что прислали это полное разочарование и выброс денег, просто чёрное месиво, на реснички совершенно не ложится. Упаковки никакой, даже запаянного пакетика!;4;0
2022-08-31 15:40:34;5;Спасибо! Отличная тушь;0;0
2022-08-31 13:49:45;5;Эта тушь всегда на высоте. Много лет пользуюсь только ей.;0;0
2022-08-31 11:01:18;5;Тушь хорошая , буду заказывать ещё .;0;0
2022-08-31 10:09:02;5;Тушь клёвая, очень нравится;0;0
2022-08-31 08:51:10;1;Просто ужас, явная подделка, хоть сто сертификатов мне может показать поставщик. Я пользуюсь телескопик уже 10 лет, ни разу на изменяя. У меня очень чувствителтные глаза и кожа вокруг, на многие средства сразу аллергия, и телескопик подходил идеально. Правда покупала я всегда в яблоке, лэтуаль и тд. Решила купить здесь, почитав отзывы и поведясь на цену. Во-первых тушь совершенно другая по консистенции, настоящий ая делает ресницы упругими, жёсткими, позволяет загнуть их в любую сторону (у меня три реснички растут в другую сторону). Эта тушь мягкими оставляет ресницы, ложится по иному абсолютно, хотя неплохо для подделки, но не как телескопик. И как итог к вечеру воспалился глаз и кожа под ним зачесалась и опухла, сейчас слазит. Как только исключила эту тушь все стало заживать.;1; 
2022-08-31 08:36:52;5;Хорошая тушь;1;0
2022-08-31 08:03:27;5;Качество очень хорошее!!!;0;0
2022-08-31 07:45:58;3;Хорошая, но быстро закончилась;0;0
2022-08-31 07:19:32;5;Отличная тушь;0;0
2022-08-31 07:08:25;5;Тушь классная, заказывала 2 раз , рекомендую;0;0
2022-08-31 03:27:18;5;Оригинал, свежая. Спасибо!;0;0
2022-08-31 02:23:02;5;Отличная тушь за данную цену , взгляд роскошный;1;0
2022-08-31 00:21:17;5;Отличная тушь, пользуюсь ей лет 10.;0;0
2022-08-30 23:34:58;3;По качеству пока не знаю, но жаль что не упакована...!;0;0
2022-08-30 23:26:09;5;Жена осталась довольна!;0;0
2022-08-30 23:09:51;5;Тушь упакована в запаянный пакет. Индивидуальной упаковки нет, т к бренд следит за экологией и она так поставляются. Эффекта вау не произошло, красила один раз, ещё жидковата. Потом думаю будет лучше. Кисточка удобная, нужно приноровиться к ней особенно для нижних ресничек. Прокрашивает хорошо. Не осыпается, нет тяжести на глазах. Хорошая тушь. Стоимость нормальная, в магазинах дороже.;0;0
2022-08-30 23:05:34;5;На конец то тушь, соответствует своему описанию.;0;0
2022-08-30 22:40:02;1;Тушь пришла без упаковки;1;1
2022-08-30 22:18:04;5;Тушь очень хорошая.Пользуюсь довно.Цена хорошая.Покупала гораздо дороже.;1;0
2022-08-30 21:24:45;4;Тушь просто супер. Но поставила 4 ,потому что крышечка закрывается не ровно. А тушь просто класс. Буду заказывать ещё.;0;0
2022-08-30 19:08:54;1;Пришла сломанная тушь!!!!!;2;1
2022-08-30 20:22:59;5;Всё отлично;0;0
2022-08-30 19:11:33;1;Подделка. Флакон весь кривой, крышка до конца не закрываеться. По штрих коду Франция, внутри стика Италия.;3;0
2022-08-30 19:17:21;5;"Упакована очень хорошо. Красит супер. Взяла из-за щетки, она из коротеньких ""превращает"" в длинющие реснички.";0;0
2022-08-30 18:53:07;5;тушь суперская;0;0
2022-08-30 13:31:18;5;Заказывала не себе,но эту марку нахваливают.;0;0
2022-08-30 13:15:41;5;хорошая тушь, пришла вовремя;0;0
2022-08-30 11:39:16;4;Качество, свойства все хорошо, но если вдруг потекли слезы будьте готовы к тому, что станете похожи на панду;0;1
2022-08-30 11:11:22;5;Не думаю ,что подделка как пишут некоторые.сравнила с тушью что брала в летуаль. Один в один.штрих код тоже соответствует. Красит изумительно ,как и обычно. Пришла без слюды, но упакована в запаянный пакет. Вообщем спасибо.меня все полностью устроило.а за такую цену тем более -670 рубликов.;1;0
2022-08-30 10:53:06;1;Тушь ужасная,совсем сухая,пользоваться не возможно.Натуральное мошенничество.;2;3
2022-08-30 10:06:31;5;Тушь хорошая, ни чем не отличается, которая в магазине(разве только ценой). Рекомендую к покупке. Упакована хорошо.;2;0
2022-08-30 10:05:04;5;"Отличная тушь. 
Лучше пока не нашла.";1;0
2022-08-30 07:47:41;5;Отличная тушь, хорошо удлиняет! Те, кто пишет, что тушь плохо упакована зайдите в Летуаль, упаковка такая же и цена выше.;4;0
2022-08-30 07:13:54;5;Хорошо упаковано, спасибо;0;0
2022-08-30 06:21:56;5;Отличная тушь! Лучше пока не нашла!;0;0
2022-08-30 05:17:18;2;Очень разачарованна, эффект нулевой,  защитная пленка отсутствуют на товаре.;0;2
2022-08-30 05:00:56;5;Спасибо продавцу за очень аккуратную упаковку,приятно получать 🙂;0;0
2022-08-30 03:00:57;4;Пришла без упаковки;0;0
2022-08-30 02:07:57;5;Жена вроде довольна, цена мне тоже понравилась, ниже чем в магазинах.;1;0
2022-08-29 23:56:08;5;Полностью соответствует описанию;0;0
2022-08-29 22:40:08;5;Отличная тушь;1;0
2022-08-29 22:06:54;5;Хорошая туш,очень люблю её!!!;0;0
2022-08-29 21:50:30;5;Тушь нравится, пользуюсь ей постоянно, пробовала менять и опять возвращаюсь к ней. Экстрачерная прокрашивает с первого раза.;1;0
2022-08-29 21:36:07;5;Замечательная тушь.;0;0
2022-08-29 21:33:33;5;Попробовала впервые, и осталась очень довольна! Действительно классно удлиняет реснички, и даже слегка подкручивает. Щеточка у неё силиконовая, с маленькими щетинками. Мне очень понравилась, буду ещё заказывать!;1;2
2022-08-29 20:51:17;4;Моя любимая тушь. Впервые заказываю тут. Заметила особенность , во время носки тушь с нижних ресниц остаётся пятнами черными под глазами. Раньше такого не было, кажется, была более стойкая.;0;1
2022-08-29 20:37:31;5;Туши пришла запечатанная, ещё не красилась;0;1
2022-08-29 19:18:55;5;Пользуюсь такой тушью давно,качеством довольна, заказывала здесь, всё хорошо,цвет, запах, консистенция та же.;0;0
2022-08-29 18:27:17;5;Тушь идеальная. Рекомендую;0;0
2022-08-29 18:10:44;5;Туш пришла запакована в пленку.Туш супер,уже много лет пользуюсь.;1;0
2022-08-29 15:58:12;5;Хорошая тушь;0;0
2022-08-29 15:55:10;5;Любимая тушь;0;0
2022-08-29 15:54:46;1;пришла подделка. крышка была до конца не закручена.;2;1
2022-08-29 15:50:15;5;Тушь хорошо удлиняет.;0;0
2022-08-29 12:54:27;2;"Тушь без упаковки и засохший.
Я покупала в летуалье оргинал очень отличается";3;0
2022-08-29 12:43:33;5;Как всегда, шикарна;0;0
2022-08-29 12:22:38;5;👌👌👌👌 туш крутая просто;0;0
2022-08-29 11:22:31;1;Тушь пришла вообще без упаковки. Такое впечатление, что ей уже пользовались.;1;0
2022-08-29 10:54:22;5;Отличная тушь;0;0
2022-08-29 09:33:36;5;Рекомендую к покупке! наносится хорошо, не осыпается, не вызывает раздражения глазок, хорошо удлиняет!;0;0
2022-08-29 09:12:58;5;Постоянно пользуюсь данной тушью, мне очень нравится);0;0
2022-08-29 08:34:16;5;супер, просто одним движение и ресницы до бровей, аж удивилась так как столько уже перебрала этих тушей ну эта вообще шикардос. Большое спасибо;1;0
2022-08-29 08:01:47;3;Тушь не упаковано как использованная;0;0
2022-08-29 07:51:55;2;Тушь пришла не упакованная !!!!!!!!!!!!! Как будто в бывшем употреблении , нужно упаковывать хоть в герметичный пакет. Не уважение к покупателю;2;0
2022-08-29 07:48:36;5;Этой туш пользуюсь уже несколько лет. Лучше ещё не нашла - делает реснички чёрными, выразительными, идеально разделяет, удлинняет - за счёт оригинальной кисточки справляется даже с проблемными ресничками и аккуратно прокрашивает нижний ряд;3;0
2022-08-29 07:41:29;5;Отличная тушь, беру её всегда! Спасибо!;0;0
2022-08-29 07:37:48;5;Мне пришло всё запакованное, покупкой довольна, ресницы разделяет и удлиняет.;3;0
2022-08-28 23:28:56;5;Норма тушь, заказываю ее  часто , в этот раз даже упакована была в запаяный  полиэтилен;0;0
2022-08-28 22:12:10;1;В этот раз не нашла срок годности ((( его просто нет!!!;2;0
2022-08-28 20:15:11;5;Отличная тушь;0;0
2022-08-28 19:53:11;5;Отличная тушь! Приятно удивило в покупке то, что срок годности до 2025 года.;0;0
2022-08-28 19:11:19;5;Отличная тушь!;0;0
2022-08-28 19:00:02;2;Заказываю не в первый раз! Где наклейка с описанием товара? Срок годности? Производитель? Зачем клеить наклейку на саму тушь? Низкая оценка не за качество туши, а продавцу!!!;7;1
2022-08-28 17:06:07;4;Пришёл без защитной плёнки , открылся колпачок сразу , такое ощущение до меня пользовались , смутил только этот момент;2;0
2022-08-28 13:48:10;1;К сожалению поддерживаю прошлые комментарии. Тушь пришла без упаковки, открылась легко, как буд-то была использована.;1;0
2022-08-28 12:16:52;1;Ни какая.упаковки нет. Как будто использованая;2;0
2022-08-28 11:25:37;1;Без упаковки, грязная, липкая, ужас!;0;0
2022-08-28 11:18:25;1;В очередной раз приходит ВООБЩЕ без упаковки!!!;4;0
2022-08-28 10:30:31;1;отказ потому что пришла без упаковки вообще, только наклейка валдбериз на самой туши, ещё и 20 руб содрали за обратную доставку, позор!!!;3;1
2022-08-28 10:23:50;5;Отличная тушь!;0;1
2022-08-28 09:58:14;5;Любимая тушь! Проверена годами...;0;0
2022-08-28 09:53:35;5;Тушь хорошая! Упакована не каких проблем!;0;0
2022-08-28 07:07:29;4;Любимая тушь..заказываю не первый раз.. плохо что совсем без упаковки приходит..;1;0
2022-08-28 05:50:09;5;Очень хороший тушь пользуюс давно советую;0;0
2022-08-28 01:49:09;5;Для меня - лучшая! Спасибо ☺️;0;0
2022-08-27 23:34:26;1;Хорошо отношусь к тушам лореаль, но эта ужасная! Не удачная щеточка, возможно удлиняет, но склеивает ресницы и нет объема!;0;1
2022-08-27 22:31:12;5;Отличная тушь для тех, кто любит эффект слегка склеенных пушистых ресниц.;3;0
2022-08-27 21:43:38;3;Без защитной плёнки, крышка открыта;1;0
2022-08-27 20:05:18;5;Моя любимая тушь, покупаю уже много раз;0;0
2022-08-27 19:45:57;5;Отличная тушь! Буду брать ещё!;0;0
2022-08-27 16:24:48;1;Тушь безобразная.Совсем не та ,что была раньше - подделка.Не рекомендую.;1;1
2022-08-27 15:33:23;1;Ужасная тушь, после первого использования ясно, что подделка. Ресницы склеивает, очень жирная, совсем не стойкая, никакой длинны и изгиба.;4;0
2022-08-27 14:59:35;3;Без защитной плёнки,крышка не полностью закрывается. Остается только гадать о подлинности товара!;3;0
2022-08-27 14:44:26;5;Жене понравилось, спасибо.;0;0
2022-08-27 14:39:47;1;Тушь пришла открытая, засохшая;0;0
2022-08-27 14:37:41;5;Тушь отлично удлиняет ресницы. Мне нравится!;0;0
2022-08-27 12:36:40;5;Тушь пришла хорошая не засохла. Срок хороший. В обычных магазинах она под 1000 стоит. Сжечь же всего 500.;1;0
2022-08-27 12:32:09;5;Тушь хорошая сидит на ресницах хорошо не осыпается;0;0
2022-08-27 12:12:32;1;Отказ.Туш пришла без упаковки ( неизвестно сколько раз и при каких обстоятельствах ее открывали🤦‍♀️) , кисточка кривая, корпус туши помят .;0;0
2022-08-27 10:49:58;1;Подделка, очень очевидный факт что сама основа отличается от кисточки, даже не закрывается до конца, не рекомендую, не стоит своих денег!;2;1
2022-08-27 10:34:19;5;Лучшая тушь. Пользуюсь ей 10 лет. Сколько их не перепробовала, эта остаётся number one. Да, приходит без упаковки, но на качество это не влияет, оно на высоте. В Летуаль она также без упаковки продаётся, только их штрих-код сверху наклеен;1;0
2022-08-27 09:39:08;5;Единственный минус товар пришёл без защитной плёнки в остальном 5;0;0
2022-08-27 09:00:47;2;Не понравилась.;0;0
2022-08-27 08:36:14;2;Странно , тушь пришла будто ей уже до меня пользовались , а так она не засохшая ,можно пользоваться;0;0
2022-08-27 03:08:38;5;Тушь отличная. Нравится.;0;0
2022-08-26 23:12:43;5;Отличная тушь;0;2
2022-08-26 23:07:29;5;Отличная тушь, не размазывается;0;0
2022-08-26 22:42:14;1;Без упаковки!!!! Полу открытая!!! Продавец, вы считаете это нормально!?;1;0
2022-08-26 21:48:48;5;Отличная тушь. Оригинал.;1;0
2022-08-26 20:49:50;1;Вообще-то нет слов, мало что не запечатана, так она сухая, видать использовали и заменили на новую, так что не советую.;1;0
2022-08-26 19:26:26;3;Хуже подделки , которую купила за 250р. Ресницы склеиваются, как кто то писал эффект паучих лапок.;2;1
2022-08-26 18:42:45;5;Тушь супер. Удлиняет хорошо. Не сыпиться;1;0
2022-08-26 18:14:27;5;Пока новая слишком мажет...подсохнет будет лучше;0;0
2022-08-26 17:08:51;5;Хорошая тушь;1;0
2022-08-26 16:06:26;1;Нет индивидуальной упаковки;1;0
2022-08-26 16:05:57;5;Тушь пришла упакована. Спасибо;0;0
2022-08-26 15:27:23;2;Не понравилась, очень слипаются ресницы, не стоит своих денег. Есть тушь дешевле и по качеству лучше.;1;4
2022-08-26 15:15:16;5;Пришла целая, упакованная, люблю эту тушь. Всегда ей пользуюсь.;2;0
2022-08-26 14:35:56;5;Тушь отличная, рекомендую;2;0
2022-08-26 14:15:23;5;отличная тушь;1;0
2022-08-26 13:02:16;3;Тушь не оригинал.  Осыпается и отпечатывается в течении дня.  С оригинальной таких проблем не было.;2;0
2022-08-26 11:09:30;3;Обычная тушь, пришла без упаковки, не обернутая, накрасила ресницы не че она не удлиняет, как может тушь удлинять ресницы, если ресницы сами не длинные то тушь вам не поможет!;1;4
2022-08-26 10:48:05;5;Тушь мне очень понравилась. Такая щепотка у меня в первые но понравилось. Буду пользоваться а там посмотрим;0;0
2022-08-26 10:10:31;5;Моя любовь . Иногда пытаюсь попробовать другую тушь, но все равно возвращаюсь к телескопик !;5;2
2022-08-26 09:47:51;5;Многие пишут что не оригинал!Покупала эту тушь  в Летуаль и в Рив Гоше брала!Я особой разницы не заметила!Правда пару раз засохшая приходила,а так норм)));1;0
2022-08-26 09:08:51;1;Это не оригинал, определенно. Пользовалась много лет данным брендом, есть с чем сравнивать.;0;0
2022-08-26 08:41:31;1;Нет индивидуальной упаковки;1;0
2022-08-26 08:03:36;5;Отличная тушь!;0;0
2022-08-26 07:41:42;4;Тушь вроде нормальная, но смутила, то что не запаяна, поэтому снижаю оценку.;1;0
2022-08-26 06:02:40;3;Тушь,ну не очень,я ожидала лучшего.Так все её нахваливают,но она не оправдала этого.;0;1
2022-08-26 02:44:06;1;Через 2 дня засохла.......обидно ;1;0
2022-08-25 22:11:08;5;Тушь великолепна,добавляет объём и длину,мне очень нравится,теперь мой фаворит.Рекомендую ;4;2
2022-08-25 21:25:09;2;Пользуюсь этой тушью много лет. Точно не оригинал, туба кустарной работы. Скупой платит дважды( ;8;0
2022-08-25 21:23:15;5;Отличная тушь. Только без упаковки;2;0
2022-08-25 20:31:00;3;Тушь была даже не упакована в  пакетик. За это снимаю две звезды.;2;2
2022-08-25 19:43:33;5;Тушь супер, не осыпается, но нужно научиться пользоваться кисточкой, она на себя собирает много туши и иногда хочется расчесать ресницы просто сухой щёточкой. Межресничку прокрашивает на ура 👍🏻;0;0
2022-08-25 19:35:24;1;Тушь без упаковки вообще. Нет гарантии, что ей никто не пользовался.  Очень сомнительное качество товара. Не рекомендую!;6;3
2022-08-25 19:18:24;1;Покупаю эту тушь не первый раз,очень расстроилась видом товара,вообще без упаковки ,бери и пользуй,даже в пакетик не удосужились положить,зато вся тушь обклеена всякой дрянью которую еле отодрала,покупаю у этого продавца в последний раз и никому не рекомендую....;9;1
2022-08-25 18:19:43;5;Все супер , упакована , оригинал , моя любимая тушь уже 10 лет ;0;0
2022-08-25 18:19:37;1;"Начиталась отзывов и решила заказать, мне тушь не понравилась 
Убогая щеточка 
Просто тонну наносит туши и Ресницы как палки торчат ( это лично для меня так), я такой эффект не люблю 

Пришла открытая - без пленку и упаковочного пакета, возможно кто-то попробовал и вернул ";3;3
2022-08-25 17:41:54;5;Рекомендую к покупке! Товар соответствует описанию! Может для кого-то будет актуально🌸 Ищу менеджера, работа полностью удалённая. з.п. 20 тыс.руб., официально, обучение бесплатное. Пишите WhatsApp 89991370774;0;4
2022-08-25 17:23:30;5;Прекрасная тушь, классика;1;0
2022-08-25 16:37:19;3;Тушь пришла без упаковки.....;1;0
2022-08-25 16:14:42;5;Тушь понравилась!!!! Спасибо за быструю доставку!;0;0
2022-08-25 14:50:28;2;Тушь пришла без упаковки, как будто даже пользовались ей . Разочаровано ;2;2
2022-08-25 14:44:20;2;Тушь пришла без упаковки;1;1
2022-08-25 14:28:49;5;"Выглядит упаковка довольно просто,даже дёшево - пластик с какими-то разводами. Ни в какое сравнение с их же Paradise
Цена на 11 августа 2022 года - 628 рублей.
Совсем не бюджетно, Paradise в два раза дешевле!
Щетинки на щёточке просто мизерные. Я удивилась, как такими коротенькими возможно накрасить ресницы и не попасть в глаз! Оказалось, вроде даже можно и вполне не травмоопасно.
По составу тушь совершенно не порадовала - и парабены, и прочая химия. в действии тушь Telescopic показала себя великолепно - реснички удлиняет просто космически, взгляд становится более распахнутым и открытым, притягательным. На веках не отпечатывается, если аккуратно красить и сразу убирать огрехи. Держится в течение всего дня как прибитая - правда, под дождь не попадала, до слёз не доводили - тут не могу сказать как поведёт. Тушь рекомендую попробовать,если описанные выше нюансы устраивают";2;1
2022-08-25 13:24:15;2;Тушь пришла без упаковки!   Попользовались,  налепили самоклейку велберисс и отправили!   Больше никогда  у этого продавца ничего не закажу!!!;1;2
2022-08-25 13:18:50;3;Это лучшая тушь для меня , много лет пользуюсь. Покупала всегда только в магазинах , все было ок, но вот решила заказать через валдберис, к сожалению разочаровалась , тушь густая , видимо уже подсыхает , и плюс комкуется((( в общем буду лучше брать в магазинах .;1;0
2022-08-25 13:07:57;5;Тушь отличная, реснички прокрашует хорошо, между собой не склеиваются. Купила одну, как покрасила и сразу же заказала вторую. Буду еще обязательно заказывать;2;2
2022-08-25 13:07:24;5;Отличная тушь, уже не первый раз беру. И срок годности хороший;0;0
2022-08-25 11:31:09;5;"Прорисовывает реснички очень хорошо,  удлиняет,но остаются следы на веке спустя час.
Минус за упаковку,хоть бы плёнка от вскрывания была бы...";0;0
2022-08-25 11:06:55;5;Это моя самая любимая тушь. Признаюсь боялась заказывать, думала подделка, но решилась и ВУАЛЯ!!!Тушь бомба 💣💣💣Пришла упакована, оригинал. Заказывайте не бойтесь!!! Скидка тоже просто супер!!! Спасибо.;0;0
2022-08-25 10:59:32;5;Эту тушь я заказываю второй раз и оба раза качество отличное.;2;0
2022-08-25 10:56:58;5;Товар отличный, как всегда;1;0
2022-08-25 09:34:57;2;Безумно жидкая, как будто просто чёрная вода...;2;0
2022-08-25 09:08:02;1;Пришла,  совсем другая...;1;1
2022-08-25 08:42:43;4;Единственный минус-пришла без упаковки.чисто наклейку приклеили.Даже в магазине,когда покупаешь новый товар,все запечатано-тут такого не наблюдалось 🙃;0;2
2022-08-25 07:38:47;5;Отличная тушь, пользуюсь много лет;2;0
2022-08-25 06:54:14;5;"Все супер
 👍";0;0
2022-08-24 21:57:28;3;Тушь пришла без упаковки, разочарована.;1;1
2022-08-24 21:51:53;5;Тушь очень 👍;0;0
2022-08-24 21:43:46;5;Отличная тушь;0;0
2022-08-24 21:13:34;5;Тушь, огонь! Заказываю не первый раз, всем советую к заказу.;0;0
2022-08-24 21:11:00;5;Любимый классный тушь, пользуюсь лет 10;0;0
2022-08-24 20:42:23;1;Не  упаковки, не плёнки ничего  , туш как будто уже засохла , либо ей пользовались и из за пленки не понятно ;0;0
2022-08-24 20:20:49;4;Тушь отличная,но меня смутило что упаковка была не запечатана;0;0
2022-08-24 20:05:58;1;Пришла вообще никак не упакована, думаю, подделка. Теперь волнуюсь, не возникла бы аллергия. ;1;1
2022-08-24 19:26:58;1;Паль(( очень печально, пришла открытая ( пластик ужасен точно не оригинал!!!!! Не берите !;5;2
2022-08-24 18:37:42;5;Тушь отличная!!!;0;0
2022-08-24 18:19:38;5;Это мой фаворит, пользуюсь Миллион лет и менять не собираюсь 👍🏻;0;1
2022-08-24 18:11:05;1;Подделка однозначно, нет защитной наклейки,колпачок закрыт с зазором ;5;1
2022-08-24 18:11:01;5;Моя любимая тушь. Заказываю не первый раз. Пользуюсь много лет . Пробовала другие , но возвращаюсь именно к этой. Умеренно удлиняет ресницы. Удобная щёточка разделяет и не склеивает реснички. Не осыпается. Наношу обычно два слоя. Легко смывается любым средством , не обязательно маслянистым. Всем рекомендую! ;0;1
2022-08-24 17:40:19;3;Как обычная тушь;0;0
2022-08-24 17:32:44;2;Не оригинал. Кажется. Как зря;1;0
2022-08-24 16:50:11;2;Пришла без упаковки😡;0;1
2022-08-24 16:18:32;5;Всё хорошо. Спасибо!;0;0
2022-08-24 15:50:11;5;Пользуюсь 10 лет, супер тушь. Пришла  в хорошем виде;1;0
2022-08-24 14:29:19;5;Как всегда супер!!!;0;0
2022-08-24 14:01:49;2;Очень разочаровали, тушь пришла без упаковки. ;3;1
2022-08-24 13:46:56;2;Крайне не довольна...тушь пришла без упаковки.;1;1
2022-08-24 13:04:00;5;Она офигенная;0;0
2022-08-24 12:26:51;5;Всегда ее беру, лучше не нашла пока. ;1;0
2022-08-24 12:09:30;3;Заказала первый последний раз! Ресницы склеивает, обещанного удлинения нет.;1;1
2022-08-24 11:02:40;3;Пришла не упакованная,даже без защитной наклейки которая доказывает,что тушь новая. Кисточка хорошая,но при 1ом использовании сразу начало печь глаза. В магазине надёжнее покупать.;1;2
2022-08-24 10:53:44;5;Дождалась. ❤️❤️❤️;0;0
2022-08-24 10:31:04;3;Сильно склеевает ресницы, почти не удлиняет. Жаль, по качеству не похожа на ту, что пользовалась ранее.;1;0
2022-08-24 09:06:14;2;Пользуюсь этой тушью лет 15 точно... Решила испробовать её на вайлдбериз, я разницу ощутила. Нет такого эффета, как от той, что брала тушь в Летуале.  Разочарована покупкой;2;0
2022-08-24 07:36:02;1;Тушь пришла без защитной упаковки. Отказ;3;0
2022-08-24 07:23:41;4;"Конечно не ""L'Oreal Paris"", я ей пользуюсь всю сознательную жизнь. Не удлиняет конечно, но наносится легко, не осыпается и кругов под глазами не оставляет (уже радует). Хороший, качественный аналог. Заказала первый и последний раз.) Наивно было думать, что за такие деньги придет настоящий L'Oreal Paris )) Но, эта тушь стоит этих денег.) И на этом, спасибо.)";1;0
2022-08-23 22:04:46;5;все в отличном состоянии!;0;0
2022-08-23 21:31:55;5;Хорошая тушь.;0;0
2022-08-23 21:18:23;3;Эту тушь я покупаю давно, она мне очень нравится. Но отказ, тушь пришла без упаковки, наклейки на половину отклеены и имеется резковатый запах.;1;0
2022-08-23 21:08:56;3;Тушь пришла открытая. На вид похожа на оригинальную. Но вот кому понадобилась и зачем  снимать герметичную пленку? По утрам сотрудники глазки красят что ли. Даже не стали заморачиваться завернуть во что нибудь, как вскрыли, открутили, поюзали, так и отправили. Ну а если это не сотрудники Вайлдберриз, а продавец, то вероятно это не оригинальная тушь.;6;1
2022-08-23 20:13:48;5;Тушь очень приятной консистенции, не сухая. Щеточка силиконовая, удобная. Прекрасно прокрашивает ресницы, не склеивает их. Мне понравился эффект на глазах - тушь удлиняет и разделяет ресницы, отлично прокрашивает их даже при нанесении в один слой. Также тушь хорошо наслаивается, не утяжеляет ресницы даже при нанесении в несколько слоёв. Стойкость на высоте. Покупкой довольна. ;3;2
2022-08-23 20:04:28;4;Упаковки нет. Поэтому настроение испорчено.;0;1
2022-08-23 19:34:40;5;Самая лучшая тушь. Пользуюсь только ей. Боялась заказывать. Думала, что придёт подделка. Но нет! Была очень рада. ;1;0
2022-08-23 19:11:48;5;Пришла завернута в пупырку. Открыла, чистенькая кисточка. Надеюсь что никто не пользовался.;2;0
2022-08-23 18:30:34;1;Тушь пришла сухая! Ещё и за доставку 20 рублей списали!!!!;1;1
2022-08-23 18:28:05;5;Супер тушь!;0;1
2022-08-23 18:21:37;5;Самая лучшая тушь ресницы длиннущие ;0;0
2022-08-23 18:05:02;4;Тушь очень понравилась. Кисточка, для меня не привычная, соответственно, неудобная. Буду надеяться, что приноровлюсь к ней.;1;0
2022-08-23 17:33:39;5;Все отлично 👍  моя любимая тушь) пользуюсь ей несколько лет,  и не изменяю) товар пришёл в закрытой упаковке (запаенном пакетике), всё соответствует;0;0
2022-08-23 17:05:46;1;Тушь пришла без упаковки, ужасное качество, ресницы слиплись, неприятное ощущение на глазах, не оригинал.;1;0
2022-08-23 16:58:19;5;Тушь пришла хорошо упакована. По качеству такая же, как в магазине. Цена 512 приятная.;0;0
2022-08-23 15:58:26;5;"Тушь - легенда! 
Я очень давно хотела ее попробовать и вот наконец - то свершилось! 
Если любите естественные ресницы без ""драмы"" и тяжести - это точно ваш вариант!
Не осыпается даже после тренировки или пробежки, стойкая! 
Удлиняет, разделяет и ""рисует"" ресницы на лице!";1;0
2022-08-23 15:35:23;5;Классная тушь;0;0
2022-08-23 13:22:54;5;Тушь оригинальная, упакована в запаянный пакетик. Всё отлично.;0;0
2022-08-23 13:17:40;5;"Эфекта ""ВАУ"" я не увидела";0;0
2022-08-23 12:53:23;1;Тушь отсутствует в доставке... Карандаши для губ лежали в коробке с кроссовками упаковка разорвана была, карандаши россыпью, туши не было среди карандашей.;0;0
2022-08-23 12:41:41;4;Снимаю звезду за упаковку,вообще не упакована,не запечатана.Брала такую тушь оригинал ,очень нравится, какая эта будет пока незнаю.;0;0
2022-08-23 12:24:35;5;Тушь отличный;1;0
2022-08-23 12:23:00;5;"Отличная тушь. Стойкая, уснула не смыв макияж, утром встала вся тушь на месте, не осыпалась, без эффекта панды, только чуть в уголках глаз на коже следы.
У меня глаза чувствительные к многим средствам, другим маркам туши, здесь все прекрасно без дискомфорта.";0;0
2022-08-23 11:58:55;5;Пришла запечатаная в полителеновый мешочек. Тушь классная. Спасибо.;1;0
2022-08-23 11:23:18;5;Моя любимая тушь уже 10 лет;0;0
2022-08-23 10:54:35;5;Оригинал! ;1;0
2022-08-23 08:40:14;5;Отличная тушь;1;0
2022-08-23 06:10:39;1;Вообще никакой упаковки. Даже в пленочку не обернули. В итоге вся тушь в наклейках от вайлдберис, неизвестно сколько раз открытая. Продавец вообще не думает о покупателях. Больше у вас не закажу.;6;0
2022-08-23 05:52:25;1;пришла без упаковки распечатаная((((((((((((((;4;0
2022-08-23 05:12:20;5;Тушь оригинальная);0;0
2022-08-23 01:29:55;3;"Пришла хорошо упакована
В течении дня приходится поправлять, размсзывается(";0;0
2022-08-22 20:25:15;1;Тушь пришла вскрытия, без всякой упаковки, ужас!!! А если не выкупать  снимут 75рублей.;7;0
2022-08-22 20:00:13;5;Тушь классная, удлиняет и разделяет, запах настояший. Упакована в двойной, запаянный целофан.;0;0
2022-08-22 18:53:41;4;Странно, но тушь пришла без упаковки… по консистенции она конечно свежая, это видно. И пахнет хорошо. Но то, что она была совсем без упаковки очень настораживает… надеюсь прослужит долго. ;2;1
2022-08-22 18:47:19;5;Все как в Магазине 👍;1;0
2022-08-22 18:31:25;3;Тушь хорошая , но без упаковки . ;1;0
2022-08-22 18:26:46;5;👍🏼👍🏼👍🏼;1;1
2022-08-22 17:30:21;5;Хорошая тушь, прокрашивает нормально ресницы;0;0
2022-08-22 17:26:18;2;Тушь не стоит 100р, чтоб покупать в открытом виде!;3;0
2022-08-22 17:07:41;5;Тушь очень понравилась,кисточка супер ,буду заказывать .;0;0
2022-08-22 17:04:40;1;Тушь поделка и сухое не советиваю ;0;0
2022-08-22 17:00:50;5;Все отлично 👍 ;0;0
2022-08-22 16:23:13;1;Тушь оказалась вскрытой. отказ;2;0
2022-08-22 15:58:30;5;Всё прекрасно, порадовала запаянная упаковка✅👍 спасибо за доставку 🤗;0;0
